rovaniemi,66.5,25.7167,12.2,85,10,10.36,FI,1612739739
burica,nan,nan,nan,nan,nan,nan,nan,nan
sao benedito do rio preto,-3.3336,-43.5283,78.62,76,4,5.57,BR,1612739740
manta,-0.95,-80.7333,82.4,69,75,10.36,EC,1612739740
egvekinot,66.3167,-179.1667,-11.52,86,0,15.35,RU,1612739741
trzebnica,51.3108,17.0633,19.99,81,100,1.99,PL,1612739741
praia,14.9215,-23.5087,68,68,40,21.85,CV,1612739741
grand river south east,nan,nan,nan,nan,nan,nan,nan,nan
jiddah,nan,nan,nan,nan,nan,nan,nan,nan
kagoro,9.6,8.3833,70.75,22,54,6.2,NG,1612739743
chicama,-7.8447,-79.1469,77.67,57,87,8.5,PE,1612739743
aksarka,66.5606,67.7975,-16.74,88,100,29.04,RU,1612739744
riyaq,nan,nan,nan,nan,nan,nan,nan,nan
ponta delgada,37.7333,-25.6667,57,76,40,8.05,PT,1612739745
aswan,24.0934,32.907,59.16,52,0,9.06,EG,1612739745
beyneu,45.3167,55.2,25.29,88,77,15.39,KZ,1612739459
bathsheba,13.2167,-59.5167,78.8,65,40,17.27,BB,1612739522
conakry,9.538,-13.6773,79.48,78,64,5.3,GN,1612739746
buala,-8.145,159.5921,84.29,76,72,8.63,SB,1612739747
kolyvan,55.3053,82.7391,17.6,73,75,13.42,RU,1612739747
kaitangata,-46.2817,169.8464,64.99,82,99,7,NZ,1612739748
bima,-8.4667,118.7167,77.29,85,100,2.42,ID,1612739748
kalianget,-7.05,113.9333,78.58,85,99,12.66,ID,1612739748
atar,20.5169,-13.0499,59.67,35,0,9.55,MR,1612739474
saint-augustin,51.226,-58.6502,21.74,92,8,15.57,CA,1612739749
qaqortoq,60.7167,-46.0333,37.4,30,20,40.29,GL,1612739750
maturin,9.75,-63.1767,76.19,79,45,8.86,VE,1612739750
songjianghe,42.1859,127.479,-3.71,91,99,3.83,CN,1612739751
port elizabeth,-33.918,25.5701,64.4,94,75,10.36,ZA,1612739723
fereydun kenar,36.6864,52.5225,53.49,76,91,1.5,IR,1612739752
miri,4.4148,114.0089,77,100,40,2.3,MY,1612739752
adrar,20.5022,-10.0711,58.35,34,0,9.22,MR,1612739753
leshukonskoye,64.8989,45.7622,-21.87,86,100,8.14,RU,1612739753
ballitoville,-29.539,31.2144,75.99,88,0,1.14,ZA,1612739754
hervey bay,-25.2986,152.8535,81,83,30,5.01,AU,1612739754
isiro,2.7739,27.616,64.65,38,100,1.03,CD,1612739754
camopi,3.1655,-52.3158,72.68,97,100,2.98,GF,1612739755
mongo,12.1844,18.693,68.32,22,49,6.98,TD,1612739755
arlit,18.7369,7.3853,67.32,20,100,1.81,NE,1612739481
chokurdakh,70.6333,147.9167,-17.03,88,100,8.61,RU,1612739492
warqla,nan,nan,nan,nan,nan,nan,nan,nan
alta floresta,-9.8756,-56.0861,70.99,97,100,1.39,BR,1612739757
ixtapa,20.7,-105.2,73.4,73,1,11.5,MX,1612739757
innisfail,-17.5333,146.0333,80.6,85,100,3.44,AU,1612739758
mattoon,39.4831,-88.3728,10,66,40,8.05,US,1612739462
verkhnyaya inta,65.9811,60.3094,-13.72,89,100,9.01,RU,1612739759
inhambane,-23.865,35.3833,78.8,85,99,8.46,MZ,1612739759
umm durman,nan,nan,nan,nan,nan,nan,nan,nan
perivolion,39.4206,20.0147,63,82,100,5.99,GR,1612739760
port macquarie,-31.4333,152.9167,79,64,99,1.01,AU,1612739730
minab,27.1467,57.0801,62.6,82,20,6.91,IR,1612739761
kastamonu,41.5,33.6667,43.81,62,100,0.85,TR,1612739761
kazalinsk,nan,nan,nan,nan,nan,nan,nan,nan
roma,43.2128,-75.4557,24.8,58,75,14.97,US,1612739540
ancud,-41.8697,-73.8203,67.57,63,0,3.74,CL,1612739696
cockburn harbour,nan,nan,nan,nan,nan,nan,nan,nan
dudinka,69.4058,86.1778,-26.95,82,57,13.04,RU,1612739764
talnakh,69.4865,88.3972,-19.52,75,15,2.39,RU,1612739720
meulaboh,4.1363,96.1285,76.28,86,68,4.38,ID,1612739765
azimur,nan,nan,nan,nan,nan,nan,nan,nan
saint george,37.1041,-113.5841,64.99,16,1,3.44,US,1612739597
niquelandia,-14.4739,-48.4597,67.73,95,100,3.85,BR,1612739766
grindavik,63.8424,-22.4338,33.8,69,0,12.66,IS,1612739767
bayan,46.0833,127.4,-20.34,87,6,4.99,CN,1612739767
ati,13.2154,18.3353,69.31,21,33,10.45,TD,1612739768
manzanillo,20.3433,-77.1167,79,73,15,8.1,CU,1612739482
coquimbo,-29.9533,-71.3436,64.4,68,0,11.5,CL,1612739753
quesnel,52.9999,-122.5029,10.4,67,40,9.22,CA,1612739709
lorengau,-2.0226,147.2712,84.52,69,99,3.18,PG,1612739479
port lincoln,-34.7333,135.8667,62.26,76,69,16.46,AU,1612739770
shakhtinsk,49.71,72.5872,32,93,75,26.84,KZ,1612739770
nyrob,60.733,56.7202,-22.45,86,100,6.53,RU,1612739771
komsomolskiy,40.4272,71.7189,39.2,81,99,4.61,UZ,1612739472
lucapa,-8.4192,20.7447,65.35,93,100,3.24,AO,1612739772
isangel,-19.55,169.2667,82.04,68,31,4.52,VU,1612739718
monroe,43.1501,-77.6831,17.01,53,40,12.66,US,1612739772
vangaindrano,-23.35,47.6,76.66,92,86,5.95,MG,1612739773
comodoro rivadavia,-45.8667,-67.5,64.4,55,20,23.02,AR,1612739738
debno,52.739,14.698,19,53,100,7,PL,1612739774
nelson bay,-32.7167,152.15,75,64,40,16.11,AU,1612739611
maldonado,-34.6667,-54.9167,73,78,75,9.22,UY,1612739506
solnechnyy,50.7214,136.6319,-0.42,89,100,0.38,RU,1612739775
lata,40.1629,-8.3327,55,93,100,3,PT,1612739776
nyimba,-14.5566,30.8149,69.42,94,100,3.8,ZM,1612739776
henties bay,-22.116,14.2845,64.99,88,79,7,NA,1612739777
mys shmidta,nan,nan,nan,nan,nan,nan,nan,nan
rio grande,-32.035,-52.0986,72,72,0,9.86,BR,1612739777
louisbourg,nan,nan,nan,nan,nan,nan,nan,nan
monteiro,-7.8894,-37.12,79.52,54,100,15.66,BR,1612739778
toora-khem,52.4675,96.11,4.64,91,82,1.61,RU,1612739779
agnibilekrou,7.1344,-3.2047,78.22,78,78,5.32,CI,1612739779
rawson,-43.3002,-65.1023,60.06,55,8,14.7,AR,1612739765
cabedelo,-6.9811,-34.8339,80.6,83,20,9.22,BR,1612739780
chagda,nan,nan,nan,nan,nan,nan,nan,nan
requena,39.4883,-1.1004,55.99,66,89,22.17,ES,1612739781
opuwo,-18.0607,13.84,71.19,31,75,6.62,NA,1612739781
simpang,-1.2667,104.0833,76.35,90,100,3.62,ID,1612739782
jiaocheng,24.6774,116.1389,56.07,77,6,1.79,CN,1612739649
anloga,5.7947,0.8973,84.2,84,20,11.5,GH,1612739783
kalmunai,7.4167,81.8167,76.8,88,29,10.25,LK,1612739783
azul,-36.777,-59.8585,68.97,58,46,18.41,AR,1612739784
smithers,54.7804,-127.1743,14,73,20,4.61,CA,1612739709
yerofey pavlovich,53.9667,121.9667,-19.14,82,8,2.57,RU,1612739749
barcelos,41.5388,-8.6151,53.6,87,40,8.05,PT,1612739785
alugan,12.2188,125.4808,79.88,85,100,18.5,PH,1612739785
oranjestad,12.524,-70.027,78.8,78,20,19.57,AW,1612739547
inirida,3.8653,-67.9239,77.2,90,97,0.78,CO,1612739786
qasigiannguit,68.8193,-51.1922,19.4,49,0,24.16,GL,1612739787
clyde river,70.4692,-68.5914,-2.2,92,90,17.27,CA,1612739565
aasiaat,68.7098,-52.8699,19.63,86,0,20.85,GL,1612739788
bilibino,68.0546,166.4372,1.08,77,0,6.53,RU,1612739788
tabiauea,nan,nan,nan,nan,nan,nan,nan,nan
jambi,-1.6,103.6167,73.62,97,100,2.8,ID,1612739789
saint anthony,45.0205,-93.218,-2.2,45,90,3.44,US,1612739789
baoro,5.6667,15.9667,67.5,28,67,3.44,CF,1612739790
kahului,20.8947,-156.47,78.8,53,40,12.66,US,1612739643
nizwa,22.9333,57.5333,53.65,71,3,2.08,OM,1612739791
viru,-8.4167,-78.75,78.28,55,100,6.24,PE,1612739791
dunedin,-45.8742,170.5036,61,88,91,1.01,NZ,1612739723
lander,42.833,-108.7307,21.99,53,1,11.5,US,1612739659
